,city,year,Population,Household Population,Group Quarters,Civilian Group Quarters,Military Group Quarters,Housing Units,Housing Units - Single Family,Housing Units - Multi-Family,Housing Units - Mobile Homes,Occupied House Holds,Occupied - Single Family,Occupied - Multi-Family,Occupied - Mobile Homes,Vacancy Rates,Average House Hold Size,0-4 M,0-4 F,5-9 M,5-9 F,10-14 M,10-14 F,15-17 M,15-17 F,18-19 M,18-19 F,20-24 M,20-24 F,25-29 M,25-29 F,30-34 M,30-34 F,35-39 M,35-39 F,40-44 M,40-44 F,45-49 M,45-49 F,50-54 M,50-54 F,55-59 M,55-59 F,60-61 M,60-61 F,62-64 M,62-64 F,65-69 M,65-69 F,70-74 M,70-74 F,75-79 M,75-79 F,80-84 M,80-84 F,85+ M,85+ F,Hispanic,White,Black,AmerIndian,Asian,Hawaii/PacIslander,Other,TwoPlus
7,Carlsbad,2015,111451,110732,719,719,0,46135,31432,13388,1315,42391,29163,12045,1183,0,2,3175,3095,3463,3550,3716,3715,1821,1998,1263,1128,3667,3550,2946,2743,2278,2340,3006,3319,3534,3893,3891,4292,4478,4817,4594,4859,1628,1691,2065,2218,2868,3195,1932,2168,1404,1659,1046,1309,1122,2015,16700,83817,1322,283,6120,216,175,2818
8,Carlsbad,2016,112694,111970,723,723,0,46528,31584,13629,1314,42918,29395,12337,1186,0,2,3204,3123,3447,3533,3730,3718,1896,2040,1281,1151,3607,3539,3009,2756,2364,2472,2964,3303,3480,3869,3892,4269,4384,4725,4619,4902,1671,1726,2152,2292,2973,3319,2106,2363,1497,1744,1069,1328,1127,2034,16989,84628,1334,277,6227,217,171,2847
9,Carlsbad,2017,113937,113209,728,728,0,46922,31737,13870,1314,43446,29628,12629,1189,0,2,3233,3151,3431,3517,3744,3721,1971,2082,1299,1175,3548,3528,3073,2769,2451,2604,2923,3287,3426,3846,3893,4246,4290,4633,4644,4946,1715,1762,2240,2366,3079,3444,2280,2558,1590,1829,1093,1348,1133,2053,17279,85439,1347,272,6334,218,167,2877
10,Carlsbad,2018,115180,114447,732,732,0,47316,31890,14112,1313,43974,29860,12921,1192,0,2,3262,3179,3416,3500,3758,3725,2046,2124,1317,1198,3489,3517,3137,2783,2537,2736,2882,3271,3373,3823,3895,4223,4196,4542,4669,4990,1758,1797,2327,2441,3185,3569,2454,2754,1683,1914,1116,1367,1138,2072,17569,86250,1360,267,6442,220,164,2906
11,Carlsbad,2019,116423,115686,737,737,0,47710,32043,14353,1313,44502,30093,13213,1195,0,2,3291,3207,3400,3484,3772,3728,2121,2166,1335,1222,3430,3506,3201,2796,2624,2868,2841,3255,3319,3800,3896,4200,4102,4450,4694,5034,1802,1833,2415,2515,3291,3694,2628,2949,1776,1999,1140,1387,1144,2091,17859,87061,1373,262,6549,221,160,2936
12,Carlsbad,2020,117667,116925,742,742,0,48104,32196,14595,1313,45030,30326,13505,1199,0,2,3321,3236,3385,3468,3786,3732,2196,2209,1353,1246,3371,3496,3265,2810,2711,3001,2800,3239,3266,3777,3898,4178,4009,4359,4720,5078,1846,1869,2503,2590,3397,3819,2803,3145,1869,2085,1164,1407,1150,2110,18149,87872,1386,257,6657,223,157,2966
13,Carlsbad,2021,118178,117417,760,760,0,48245,32267,14665,1311,45188,30410,13579,1198,0,2,3329,3247,3395,3482,3783,3734,2189,2204,1347,1234,3377,3491,3266,2816,2723,3007,2820,3274,3295,3818,3881,4207,3949,4314,4637,4999,1819,1844,2482,2563,3397,3809,2864,3213,1984,2204,1261,1503,1212,2188,18288,88185,1378,252,6714,222,156,2981
14,Carlsbad,2022,118689,117910,779,779,0,48386,32338,14736,1310,45346,30494,13654,1198,0,2,3337,3258,3405,3496,3780,3737,2183,2200,1342,1223,3384,3486,3267,2822,2736,3013,2840,3309,3325,3859,3865,4236,3889,4269,4554,4921,1793,1819,2462,2536,3397,3800,2926,3282,2099,2323,1358,1600,1274,2266,18427,88499,1370,248,6771,221,155,2996
15,Carlsbad,2023,119201,118402,798,798,0,48528,32410,14807,1309,45505,30578,13728,1198,0,2,3345,3269,3415,3510,3777,3740,2177,2196,1337,1212,3390,3481,3269,2828,2749,3019,2860,3344,3354,3900,3849,4265,3830,4225,4471,4843,1767,1794,2441,2510,3397,3790,2988,3351,2214,2442,1456,1697,1337,2344,18566,88813,1362,243,6829,220,154,3012
16,Carlsbad,2024,119712,118895,817,817,0,48669,32481,14878,1308,45663,30662,13803,1198,0,2,3354,3280,3426,3525,3774,3742,2171,2192,1332,1200,3397,3476,3270,2835,2762,3025,2880,3379,3384,3941,3833,4294,3770,4180,4389,4765,1740,1770,2421,2483,3397,3781,3050,3420,2329,2561,1553,1793,1399,2422,18705,89126,1354,239,6886,220,153,3027
