censustract2010,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
100,2577.4713389870867,2564.0133165958646,2550.6255639934634,2537.307714272839,2524.0594024427164,2510.8802654175893,2497.7699420077674,2484.728072909478,2476.1787794941492,2467.65890194074,2459.1683390370354,2450.706989919063,2442.2747540698974,2433.8715313184657,2425.4972218383573,2417.1517261466374,2408.8349451026666,2400.546779906921,2392.2871320998206,2384.055903560559,2375.852996505937,2367.678313489202,2359.53175739889
201,1558.9796637408765,1576.146298286392,1593.501962457164,1611.0487377444204,1628.7887285596369,1646.7240624869212,1664.856890538178,1683.189387411083,1696.3172498275776,1709.5475016560513,1722.8809414721861,1736.3183740800735,1749.8606105607907,1763.5084683213595,1777.2627711440825,1791.1243492362685,1805.094039280342,1819.1726844843467,1833.3611346328403,1847.6602461381876,1862.0708820922537,1876.5939123184996,1891.2302134244856
202,3141.4069118487755,3132.8372653369083,3124.290996516438,3115.7680416138533,3107.2683370296136,3098.791819337676,3090.3384252850215,3081.9080917911833,3109.5600698042135,3137.4601512211284,3165.6105621141096,3194.013548528452,3222.6713766617686,3251.5863330448065,3280.7607247238807,3310.196879444949,3339.8971458393353,3369.863893611121,3400.099513726217,3430.6064186031335,3461.387042305458,3492.4438407360662,3523.779291833068
300,3401.3594749294075,3397.7228422003095,3394.0900976511302,3390.461237124743,3386.8362564684658,3383.215151534056,3379.597918177707,3375.984552260042,3362.5232910101936,3349.1157046370013,3335.761579119481,3322.460701290027,3309.212858831009,3296.0178402713827,3282.8754349833157,3269.785433178824,3256.747625906423,3243.761805047793,3230.827763314457,3217.9452942444714,3205.11419219913,3192.3342523596816,3179.605270724062
400,2391.362971262583,2378.792371183781,2366.2878505702215,2353.8490620641246,2341.475660133656,2329.167301063327,2316.9236429444463,2304.7443456656238,2322.1810604820243,2339.7496940616315,2357.4512444456636,2375.286717226093,2393.257125602773,2411.3634904409964,2429.6068403294876,2447.9882116388358,2466.5086485803695,2485.169203265475,2503.970935765366,2522.9149141713033,2542.0022146552724,2561.233921531117,2580.611127316139
500,2028.8505714004968,2054.0093019321966,2079.480012917701,2105.266573065863,2131.3728990594022,2157.802956149801,2184.560758759583,2211.6503710920574,2200.297646569098,2189.0031972399847,2177.7667239696316,2166.587929158458,2155.4665167345047,2144.4021921455933,2133.394662351525,2122.4436358163184,2111.54882250049,2100.709933853371,2089.926682805464,2079.198783760844,2068.5259525895895,2057.9079066202594,2047.3443646324074
600,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2122.0,2169.9420480811063,2218.9672441236694,2269.1000595375135,2320.3655186115893,2372.789211005095,2426.397304520805,2481.2165581669897,2537.2743355144353,2594.5986183552413,2653.2180206702083,2713.1618029117867,2774.459886609722,2837.14286930668,2901.242039831312,2966.789393916383
700,2689.9459449733245,2683.9054847471925,2677.878588793537,2671.8652266528425,2665.865367933993,2659.8789823141187,2653.906039538441,2647.94650942012,2658.3659865256,2668.826463516374,2679.328101724012,2689.8710631149106,2700.4555102927943,2711.0816065012195,2721.7495156260957,2732.4594021982102,2743.211431395768,2754.0057690469384,2764.8425816324116,2775.7220362879675,2786.6443008070537,2797.6095436433725,2808.617933913479
800,2617.3721172144637,2618.7449541176316,2620.1185110869874,2621.4927885002126,2622.867786735187,2624.243506169989,2625.619947182894,2626.9971101523774,2600.7209538023453,2574.7076208828616,2548.9544825408047,2523.458936217774,2498.2184053870806,2473.230339293368,2448.4922126948404,2424.0015256080646,2399.7558030553287,2375.7525948145244,2351.989475171534,2328.4640426750925,2305.173919894101,2282.11675317737,2259.290212415763
900,2645.631649046073,2621.485701286234,2597.5601269080903,2573.852914624786,2550.3620715059233,2527.0856228100283,2504.0216118185463,2481.168099671351,2447.671036923863,2414.626201985067,2382.0274895438038,2349.868876713799,2318.144421920883,2286.848263805233,2255.97462013844,2225.5177867551934,2195.4721364993875,2165.8321181844567,2136.592255567749,2107.7471463387415,2079.2914611209208,2051.2199424871337,2023.5274039882345
1000,2688.6247906587128,2688.249633672223,2687.874529033225,2687.4994767344147,2687.1244767684884,2686.7495291281443,2686.3746338060814,2685.9997907949987,2682.2269903799215,2678.4594893036683,2674.6972801226984,2670.9403554039272,2667.18870772471,2663.4423296728287,2659.701213846476,2655.9653528542417,2652.234739315097,2648.5093658583824,2644.789225123789,2641.0743097613476,2637.364612431413,2633.6601258046494,2629.960842562015
1100,1699.2822863052475,1689.6198294621352,1680.0123152692215,1670.4594313116766,1660.960866951123,1651.5163133155356,1642.1254632891967,1632.7880115027092,1635.291993763493,1637.7998160372597,1640.3114842129085,1642.82700418837,1645.3463818706193,1647.8696231756908,1650.3967340286906,1652.927720363812,1655.4625881243487,1658.0013432627084,1660.5439917404276,1663.0905395281852,1665.640992605816,1668.195356962326,1670.7536385959052
1200,2344.2068104734044,2313.8128716925858,2283.813007150646,2254.2021074569643,2224.9751294669963,2196.1270954233587,2167.653092108048,2139.5482700056505,2149.0200593128684,2158.5337802717054,2168.089618513762,2177.6877604924307,2187.3283934865335,2197.0117056039767,2206.737885785421,2216.5071238079686,2226.3196102888655,2236.175536689221,2246.075095317744,2256.018479334494,2266.0058827546513,2276.037500452303,2286.1135281642432
1300,2646.569580623736,2615.508045213927,2584.8110643539317,2554.4743594394236,2524.4937020820316,2494.8649135199794,2465.58386403564,2436.6464723799304,2403.5001331803487,2370.8046923013844,2338.554016055262,2306.7420541923657,2275.362838766207,2244.4104830138344,2213.8791802514725,2183.7632027851832,2154.056900836348,2124.754701481764,2095.85110760816,2067.3406968809336,2039.2181207269193,2011.4781033309905,1984.1154406463136
1400,1879.7018019697273,1865.511543995903,1851.4284112166986,1837.4515949218467,1823.580292506201,1809.8137074236474,1796.1510491413637,1782.5915330944233,1763.3131560429706,1744.2432708500496,1725.3796227171908,1706.7199812311267,1688.2621401000708,1670.003916892849,1651.943152780851,1634.0777122827737,1616.4054830121245,1598.9243754274557,1581.6323225852996,1564.5272798957753,1547.6072248808407,1530.8701569351551,1514.314097089532
1500,2029.905493054893,2009.0279428251722,1988.3651179139874,1967.914809874375,1947.6748329732175,1927.643023957633,1907.817241823766,1888.1953675879558,1863.3784754521553,1838.8877562038915,1814.7189228940986,1790.867744917855,1767.330047273842,1744.1017098335367,1721.1786666200076,1698.556905096191,1676.2324654625215,1654.2014399637933,1632.4599722051319,1611.0042564769553,1589.8305370888095,1568.9351077119566,1548.3143107306057
1600,1342.3936218547765,1324.0416135168146,1305.940497468978,1288.086843735643,1270.4772692327535,1253.1084371267614,1235.9770562023305,1219.0798802386855,1090.5764101064963,975.6185181629826,872.7783621228212,780.7786088604574,698.4765692074793,624.850005104384,558.9844328235024,500.06176456190354,447.350147326412,400.19487290392317,358.0102460136855,320.272309639385,286.51233718552584,256.3110106269944,229.29321234111958
1700,1754.0533432969153,1689.5678918896683,1627.4531628205348,1567.621999618066,1509.9904500032203,1454.4776480914675,1401.0057009255754,1349.4995791798704,1231.3612996002546,1123.5651152071475,1025.2056553346868,935.4568075357582,853.5647791362561,778.8417661967526,710.6601767077426,648.4473594995883,591.6807945957431,539.883704613454,492.6210503524839,449.49587693915544,410.145979837302,374.24086272424483,341.47896168126533
1800,1998.8395389481236,1943.2682404972506,1889.2419230973035,1836.7176335239692,1785.653612729056,1736.0092626402713,1687.7451138840233,1640.8227944055884,1493.223196008181,1358.9008640659658,1236.6614470601296,1125.4180309142953,1024.181474499727,932.0516145065355,848.2092614773917,771.9089158350225,702.4721391367189,639.2815216151549,581.775192366808,529.4418233743186,481.8160829401422,438.4744981048708,399.03168926016014
1900,2153.3176034322423,2124.0388003899106,2095.1581031849278,2066.670098745676,2038.5694476024346,2010.8508828866077,1983.5092093435633,1956.5393023588929,1827.6679162500786,1707.284902512616,1594.8311574719792,1489.7844039387664,1391.6567655583824,1299.9925009310418,1214.3658869785068,1134.3792417271184,1059.6610773241916,989.8643747096901,924.6649719301118,863.7600586093147,806.8667695840404,753.7208711724567,704.075533974257
2001,2730.0653120895536,2708.3054535881656,2686.7190310261685,2665.30466204048,2644.0609752860773,2622.986610348181,2602.0802176551333,2581.340458391975,2448.327129713888,2322.167815797204,2202.5093376122995,2089.0167150146285,1981.372228978349,1879.2745321519078,1782.4378052456107,1690.5909568895152,1603.47686472167,1520.8516555821536,1442.4840227978373,1368.1545786466302,1297.6552401884562,1230.7886467436101,1167.3676073877446
2002,1767.9499512584166,1739.3695215106497,1711.2511189622307,1683.5872745465701,1656.3706399409566,1629.593985614628,1603.2501989083976,1577.3322821453246,1466.0492048943904,1362.61730993562,1266.482684985964,1177.1304970762776,1094.082235449118,1016.8931489740961,945.149864357289,878.4681723894251,816.4909703774698,758.8863497406402,705.3458185292931,655.5826493476793,609.3303438331408,566.3412054685242,526.385013084747
2100,1987.644744185137,1942.3459336709923,1898.0794918635793,1854.8218908791735,1812.5501390390987,1771.2417686495103,1730.874824059678,1691.427849992425,1545.338835576885,1411.8675631081855,1289.9242352975025,1178.5131808997785,1076.7247250255639,983.7277616159023,898.7629674342786,821.1366021676502,750.2148440141855,685.4186145075995,626.2188503226071,572.1321834556331,522.7169945093126,477.56980685572114,436.321992236561
2201,272.20306409838105,258.1690177858792,244.8585285595322,232.23429179277215,220.26092618365882,208.90487459351655,198.13430999806005,187.91904628742313,172.38827767657497,158.14106588665058,145.07133000473303,133.08175628730675,122.08307358825681,111.99338866988853,102.737576447872,94.24672063003887,86.45760058417822,79.31222061418703,72.75737813969157,66.7442675639215,61.22811688034293,56.1678543123213,51.525802503702295
2202,376.0465905999574,355.30411633631155,335.7057828502528,317.18848011439,299.6925792075346,283.16174029924895,267.54273122583703,252.78525607355976,231.86959583801257,212.68451455269317,195.08682269026926,178.94517834280487,164.139106939976,150.5581020766082,138.10080073848422,126.67422677064725,116.19309694175989,106.5791844252694,97.76073494666541,89.67193123919432,82.25240181094887,75.44677035697319,69.20424245338135
2301,546.9605262955323,523.0171631564434,500.1219280098681,478.2289387346394,457.29432171337805,437.27612390962884,418.13422879384785,399.8302759497544,369.25908517450955,341.025380481819,314.95043670437406,290.8691940761993,268.6292133703293,248.0897109270968,229.12066746456335,211.6020050296785,195.42282688009897,180.48071548496307,166.68108420082072,153.93657851869398,142.16652309203877,131.2964110451808,121.25743232944292
2302,392.19271270603457,372.4337140429011,353.6701903478667,335.85198875493813,318.93148314168474,302.86344682977307,287.60493169895534,273.1151533913973,244.39528156622632,218.69549495936687,195.69821155717398,175.11924520343717,156.70429380322744,140.2257968154276,125.48012320078881,112.2850550759206,100.477535977772,89.9116559130538,80.45684829309288,71.99627647295878,64.42538995671438,57.65063242727084,51.58828563548197
2401,737.0881101790218,705.5829638536127,675.4244329887953,646.554959584998,618.9194458277661,592.4651489327734,567.1415804854424,542.9004100830628,488.5948870864481,439.72146502982844,395.736778911008,356.15181572324786,320.5264777057545,288.46468942416044,259.60999428248925,233.6415915094987,210.2707695594039,189.2376962742373,170.30853012150837,153.27282039047654,137.94116744293592,124.14311700564464,111.72526509356008
2402,300.2333404128614,285.2533503021049,271.0207791935477,257.49833499549163,244.65058628622302,232.44386947682827,220.84620060607378,209.82719153623557,186.14435133565405,165.1345532506337,146.49609553885614,129.96132902335088,115.29281363704217,102.27990877161167,90.73574846791801,80.49455801155732,71.40927339974407,63.349429494938605,56.19928653900266,49.85616812453326,44.22898675656102,39.23693583160556,34.80832925084258
2501,580.6709280743203,550.0468624970513,521.037882757799,493.5588106734911,467.5289602822738,442.8719009277813,419.51523283812924,397.39037454067056,352.55448774229274,312.77724572694603,277.48790285161544,246.1801083068812,218.40464071832218,193.7629624723261,171.90150128024476,152.5065769296464,135.2999004289152,120.03458096446052,106.49158337617226,94.47658532104091,83.8171890298055,74.36044764938742,65.97067067771742
2502,1334.8826025037363,1272.79397319082,1213.5932367028804,1157.1460701363385,1103.3243982718332,1052.0061029792669,1003.0747461391268,956.4193054514087,853.4682445496131,761.5990604777742,679.618875833769,606.463217141843,541.1821931738039,482.92816106588106,430.9447200816781,384.55689011049594,343.1623473735267,306.2236035377562,273.2610266871109,243.84661353149815,217.59843198885434,194.17566197978752,173.27417004190525
2601,331.56087105139886,314.9931553362818,299.2533093367512,284.29996535446116,270.0938227874145,256.5975448395339,243.7756603915365,231.5944707752087,204.32126266247334,180.25982328614515,159.0319258394061,140.3038845547024,123.7813094272516,109.20447863687808,96.34425592630568,84.99848876032182,74.98883064772234,66.15793767544967,58.36699518665749,51.49353572403575,45.42951393819036,40.07960820015878,35.359722220752936
2602,355.4279208120734,336.87735171411606,319.29497783580223,302.63026692777663,286.83532413051313,271.86475432310783,257.67553165639293,244.22687589540624,217.2114638255795,193.18438990087606,171.81509596262276,152.80958888962178,135.9063959181737,120.87296736861929,107.50247728805812,95.61097799332916,85.03486936720432,75.62864809103837,67.26290584841016,59.8225489595681,53.20521495287897,47.31986428888692,42.08552786229299
2702,1673.2394006657653,1612.7477488135537,1554.4430165033714,1498.2461413036783,1444.0809190810842,1391.8739006659566,1341.5542922538168,1293.0538594074662,1166.9372064626034,1053.1212090815418,950.4061357160184,857.7092693769076,774.053494741837,698.5569984073002,630.423973715885,568.9362321784357,513.4456330673626,463.36725138163365,418.17321216714066,377.38712620016565,340.5790683806287,307.3610459024875,277.382908431387
2703,1810.5035886030637,1759.4864435558623,1709.906881458041,1661.7243934819412,1614.8996122749886,1569.3942797947198,1525.1712160501668,1482.194288724061,1327.8966025479424,1189.6614367447762,1065.8166692813325,954.8642474503082,855.4620671054396,766.4077382836515,686.6240408397497,615.145894161913,551.1086833508862,493.7378006538474,442.33927564390706,396.2913808058899,355.0371109877773,318.0774457476513,284.965313096053
